TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
8412,"$36,750.00",1476,893,547,275,208,0.4144,47.13%,29.27%,77.62%,52.80%,1190,27.97%,20.15%,40.92%,16.29%,17.91%,62.33%,0.3093,1
8413,"$34,776.00",1419,747,393,368,87,0.3981,42.30%,32.26%,78.17%,47.95%,895,22.38%,14.46%,45.35%,24.28%,17.26%,41.11%,0.2747,1
8414,"$15,058.00",138,489,215,49,33,0.4593,69.04%,27.40%,6.52%,29.74%,351,0.84%,38.41%,23.11%,13.21%,75.78%,1.45%,0.2547,1
8415,"$26,503.00",435,466,509,100,30,0.4473,83.12%,20.57%,4.92%,33.21%,794,7.30%,32.22%,9.71%,4.88%,80.51%,5.07%,0.2328,1
8416,"$28,514.00",134,369,114,41,7,0.425,84.62%,22.83%,0.00%,36.28%,246,11.16%,22.90%,8.68%,7.07%,100.00%,12.13%,0.2699,1
8417,"$36,442.00",424,270,188,46,42,0.3963,42.53%,15.70%,33.70%,35.15%,240,26.40%,14.11%,44.78%,2.31%,52.43%,8.30%,0.2472,1
8418,"$30,964.00",207,339,651,175,40,0.5295,91.27%,44.35%,2.18%,33.69%,465,14.74%,60.35%,4.95%,52.77%,89.83%,5.56%,0.3803,2
8419,"$178,753.00",102,163,440,1178,1115,0.8029,21.92%,69.48%,28.22%,33.06%,312,98.57%,96.94%,80.15%,83.92%,57.44%,4.69%,0.7028,4
8420,"$113,984.00",336,296,306,249,257,0.5716,7.69%,70.15%,24.00%,48.94%,123,92.82%,71.61%,96.67%,84.36%,61.35%,45.00%,0.753,4
8421,"$27,877.00",1261,1471,1172,79,112,0.4198,61.54%,48.15%,30.73%,36.18%,1287,10.27%,21.91%,27.94%,59.94%,55.73%,11.11%,0.3115,1
8422,"$31,351.00",179,223,387,693,394,0.6959,52.00%,46.78%,20.07%,30.22%,292,15.76%,89.51%,37.38%,58.03%,64.18%,1.85%,0.4445,2
8423,"$164,423.00",180,328,338,1269,802,0.7498,15.75%,51.93%,12.45%,62.06%,294,98.02%,92.45%,88.82%,66.47%,69.84%,86.33%,0.8365,4
8424,"$37,585.00",429,425,611,310,265,0.5566,80.41%,60.63%,0.50%,33.79%,419,31.34%,68.00%,12.25%,76.92%,98.05%,5.98%,0.4876,3
8425,"$8,538.00",313,237,341,115,18,0.4609,100.00%,10.89%,4.55%,29.34%,866,0.20%,39.37%,1.16%,0.71%,81.89%,1.17%,0.2075,1
8426,"$49,385.00",693,969,729,354,167,0.4855,22.57%,54.63%,29.15%,41.40%,899,54.84%,46.15%,78.67%,70.16%,57.20%,24.72%,0.5529,3
8428,"$33,551.00",2225,1173,515,210,36,0.3432,19.65%,39.95%,84.40%,53.73%,1897,20.17%,3.75%,83.44%,44.13%,9.14%,66.88%,0.3792,2
8429,"$29,226.00",541,486,351,216,75,0.456,87.71%,18.89%,21.52%,30.62%,380,11.94%,36.93%,6.88%,4.03%,63.38%,2.14%,0.2088,1
8430,"$27,329.00",480,371,404,57,29,0.4186,84.94%,17.08%,1.25%,37.33%,437,9.12%,20.96%,8.43%,3.04%,93.68%,15.48%,0.2512,1
8431,"$37,456.00",193,457,291,97,65,0.4883,59.41%,24.81%,3.38%,42.77%,325,30.71%,47.46%,29.96%,9.16%,85.82%,27.08%,0.3836,2
8432,"$38,937.00",727,404,303,161,87,0.4189,52.17%,31.32%,87.14%,45.25%,546,34.20%,21.34%,36.82%,21.65%,6.94%,33.41%,0.2573,1
8433,"$29,293.00",220,307,155,35,55,0.444,60.00%,24.92%,33.78%,38.88%,207,11.98%,31.04%,29.72%,9.43%,52.37%,18.81%,0.2556,1
8434,"$36,989.00",219,299,204,64,24,0.4457,50.70%,37.88%,15.10%,46.58%,191,29.42%,31.35%,38.03%,37.06%,68.01%,36.66%,0.4009,2
8435,"$30,983.00",3859,2768,1209,61,17,0.3374,29.27%,40.20%,24.17%,44.13%,342,15.09%,3.10%,67.97%,44.35%,61.19%,29.77%,0.3691,2
8436,"$32,121.00",278,515,611,261,184,0.5522,76.00%,29.76%,4.48%,34.66%,534,17.69%,66.28%,16.79%,17.46%,82.26%,6.96%,0.3457,2
8437,"$91,565.00",90,257,313,608,256,0.6896,14.91%,50.88%,19.41%,65.29%,397,88.63%,88.97%,89.73%,64.67%,64.72%,91.68%,0.814,4
8438,"$36,615.00",377,446,392,80,0,0.427,70.11%,46.35%,19.71%,40.98%,405,26.73%,23.64%,22.62%,56.15%,64.38%,23.34%,0.3614,2
8439,"$52,795.00",454,314,935,486,554,0.6271,83.49%,35.57%,7.98%,39.64%,439,59.84%,81.73%,9.25%,31.88%,73.72%,19.95%,0.4606,2
