TRACT ,Estimated Median Family Income,Less Than High School,High School ,Some College ,College Graduate ,Graduate School ,Educational Attainment Score,% of Single Parent Households ,% of Owner Occupied Homes ,% of Population Speaking a Language Other than English ,Weighted Average NWEA Performance at Attendance Area Schools ,Number of School Age Children ,Estimated Median Family Income Cumulative Percentage ,Educational Attainment Score Cumulative Percentage ,% of Single Parent Households Cumulative Percentage ,% of Owner Occupied Homes Cumulative Percentage ,% of Population Speaking a Language Other than English Cumulative Percentage ,Weighted Average NWEA Performance at Attendance Area Schools Cumulative Percentage ,6-Factor Socioeconomic Score ,6-Factor Socioeconomic Tier
508,"$150,318.00",45,70,65,324,318,0.7946,0.00%,47.50%,10.00%,68.26%,210,97.00%,96.28%,100.00%,58.50%,71.37%,93.85%,0.8617,4
509,"$124,671.00",16,57,159,432,301,0.7959,9.95%,37.60%,15.65%,70.04%,182,93.93%,96.34%,95.16%,36.43%,67.56%,94.55%,0.8066,4
510,"$133,727.00",41,156,153,524,322,0.7555,12.50%,48.40%,19.49%,68.26%,224,95.07%,93.00%,92.53%,60.80%,64.63%,93.75%,0.833,4
511,"$161,029.00",33,199,73,524,220,0.7333,18.70%,44.43%,17.83%,68.26%,230,97.79%,91.26%,84.89%,52.83%,66.12%,93.85%,0.8112,4
512,"$145,758.00",125,73,125,502,266,0.7303,10.11%,41.11%,11.41%,56.94%,202,96.63%,91.10%,95.06%,45.68%,70.12%,77.07%,0.7928,4
513,"$150,330.00",9,113,136,981,624,0.8252,13.67%,65.76%,15.45%,50.27%,505,97.12%,98.34%,91.51%,81.92%,67.84%,51.23%,0.8133,4
514,"$106,361.00",98,144,304,454,292,0.708,36.48%,51.19%,21.03%,50.07%,267,92.24%,89.91%,53.88%,64.96%,63.91%,50.22%,0.6919,4
601,"$125,968.00",6,108,266,1054,536,0.8037,6.77%,50.41%,11.74%,70.70%,376,94.09%,97.02%,97.15%,63.02%,70.08%,95.19%,0.8609,4
602,"$98,766.00",57,185,423,725,365,0.7317,15.52%,33.81%,21.80%,63.08%,278,89.80%,91.17%,89.19%,27.14%,63.07%,87.82%,0.747,4
603,"$141,036.00",42,251,159,1011,805,0.8016,24.24%,48.25%,5.52%,76.48%,409,95.87%,96.71%,76.87%,60.50%,78.92%,98.92%,0.8463,4
604,"$144,933.00",20,172,253,1118,913,0.8207,6.02%,43.22%,18.31%,78.25%,512,96.53%,97.88%,97.87%,50.93%,65.83%,99.94%,0.8483,4
605,"$78,023.00",172,205,118,385,118,0.6144,0.00%,25.73%,22.60%,78.45%,146,81.46%,80.12%,100.00%,10.51%,62.39%,100.00%,0.7241,4
608,"$104,867.00",108,232,559,1943,1159,0.7906,0.00%,52.46%,25.44%,51.63%,162,91.91%,96.08%,100.00%,66.88%,59.04%,56.42%,0.7839,4
609,"$109,091.00",228,558,1071,2043,1636,0.7554,0.00%,42.60%,25.21%,53.45%,299,92.51%,92.95%,100.00%,49.43%,59.18%,65.23%,0.7655,4
610,"$167,630.00",65,93,274,729,527,0.7848,4.48%,38.70%,16.63%,50.20%,95,98.07%,95.51%,98.50%,39.97%,66.89%,50.79%,0.7496,4
611,"$91,207.00",10,94,163,595,198,0.7655,14.29%,32.83%,4.39%,72.39%,63,88.54%,93.72%,90.63%,25.23%,82.57%,96.62%,0.7955,4
612,"$163,844.00",9,13,110,887,353,0.8277,0.00%,32.38%,11.04%,78.45%,114,97.95%,98.41%,100.00%,24.34%,70.37%,99.97%,0.8184,4
615,"$150,580.00",30,116,126,730,430,0.7975,11.19%,34.76%,12.93%,75.32%,96,97.21%,96.38%,93.93%,29.52%,69.73%,98.51%,0.8088,4
618,"$143,022.00",53,75,123,482,318,0.7783,59.09%,31.15%,26.53%,63.40%,42,96.04%,95.28%,30.21%,20.90%,58.70%,88.32%,0.6491,4
619.01,"$147,652.00",80,167,626,1122,999,0.7866,52.54%,32.78%,16.68%,63.40%,202,96.67%,95.66%,36.49%,25.22%,66.87%,88.15%,0.6818,4
619.02,"$153,968.00",28,191,567,1560,1160,0.8072,31.64%,34.31%,17.43%,63.40%,171,97.31%,97.21%,63.21%,28.46%,66.32%,88.25%,0.7346,4
620,"$113,497.00",20,150,403,942,658,0.7903,34.34%,30.76%,15.68%,63.40%,130,92.73%,96.02%,57.61%,20.39%,67.52%,88.29%,0.7043,4
621,"$126,620.00",49,180,522,1094,884,0.7894,4.32%,28.93%,15.08%,63.40%,126,94.16%,95.83%,98.53%,15.36%,68.04%,88.44%,0.7673,4
622,"$155,607.00",30,77,210,979,653,0.8204,7.78%,45.36%,12.56%,63.40%,178,97.48%,97.76%,96.59%,54.61%,69.77%,88.36%,0.8409,4
623,"$147,690.00",3,49,71,645,340,0.8292,16.67%,39.94%,10.54%,71.02%,188,96.72%,98.45%,88.46%,43.70%,70.96%,95.72%,0.8233,4
624,"$255,580.00",51,63,146,583,364,0.7899,0.63%,45.89%,13.82%,70.88%,161,99.77%,95.96%,98.99%,55.50%,69.20%,95.32%,0.8579,4
625,"$175,374.00",0,39,121,779,344,0.8226,5.71%,48.06%,7.17%,70.74%,154,98.31%,98.05%,98.12%,59.53%,75.34%,95.23%,0.8743,4
626,"$188,148.00",90,87,102,704,559,0.8017,10.23%,58.68%,24.65%,70.00%,404,98.76%,96.80%,94.59%,75.11%,60.61%,94.44%,0.8672,4
627,"$191,435.00",82,81,253,839,684,0.8024,43.59%,41.34%,10.58%,70.00%,268,98.85%,96.86%,43.95%,46.27%,70.89%,94.51%,0.7522,4
628,"$132,110.00",44,66,281,1369,861,0.8241,6.23%,42.21%,15.05%,67.54%,346,95.02%,98.23%,97.41%,48.20%,68.12%,93.18%,0.8336,4
629,"$229,129.00",42,176,158,1334,1205,0.839,10.17%,40.28%,9.10%,58.82%,308,99.51%,99.08%,94.69%,44.42%,72.12%,79.56%,0.8156,4
630,"$127,307.00",46,76,123,1255,698,0.8259,24.16%,30.31%,18.39%,67.44%,155,94.45%,98.38%,77.41%,18.88%,65.61%,93.06%,0.7463,4
631,"$166,839.00",41,89,220,755,664,0.8162,3.85%,31.76%,7.68%,63.40%,136,98.05%,97.50%,98.70%,22.97%,66.28%,88.44%,0.7866,4
632,"$109,300.00",139,279,547,2486,1978,0.8168,40.91%,33.78%,19.05%,63.40%,265,92.57%,97.56%,47.81%,27.08%,65.13%,88.21%,0.6973,4
633.01,"$40,915.00",22,132,416,826,514,0.7757,0.00%,18.41%,15.77%,63.40%,84,38.40%,95.21%,100.00%,3.59%,67.49%,88.38%,0.6551,4
633.02,"$142,901.00",33,144,383,1647,1176,0.824,0.00%,37.28%,18.36%,63.40%,191,96.03%,98.15%,100.00%,35.82%,65.72%,88.48%,0.807,4
633.03,"$102,307.00",39,73,110,411,288,0.7815,0.00%,54.34%,9.47%,63.40%,28,91.09%,95.32%,100.00%,69.67%,71.92%,88.26%,0.8604,4
634,"$160,303.00",14,110,253,720,440,0.7902,20.45%,31.49%,11.22%,71.71%,103,97.65%,95.99%,81.54%,21.83%,70.24%,96.25%,0.7725,4
701.01,"$331,962.00",100,130,592,1614,1148,0.7998,10.14%,43.72%,7.32%,77.05%,165,100.00%,96.48%,94.93%,51.83%,74.70%,99.02%,0.8616,4
701.02,"$213,393.00",49,151,388,737,802,0.7967,14.55%,31.85%,26.88%,76.85%,80,99.44%,96.36%,90.15%,22.99%,58.14%,98.94%,0.7767,4
701.03,"$195,072.00",0,9,66,941,449,0.8498,25.00%,16.87%,22.72%,77.26%,64,98.87%,99.55%,75.63%,2.86%,62.36%,99.03%,0.7305,4
702,"$211,611.00",49,72,376,1188,1094,0.8307,5.51%,34.08%,17.95%,76.90%,207,99.21%,98.50%,98.17%,27.94%,65.88%,98.98%,0.8145,4
703,"$148,609.00",0,136,133,1442,1050,0.8467,13.20%,45.52%,8.73%,74.97%,246,96.80%,99.45%,91.94%,55.03%,72.28%,97.58%,0.8551,4
704,"$169,971.00",317,106,131,1086,710,0.7503,2.37%,39.73%,10.70%,63.21%,261,98.20%,92.57%,98.81%,43.10%,70.82%,88.05%,0.8193,4
705,"$251,254.00",119,188,239,851,819,0.7862,5.91%,46.71%,10.80%,63.59%,304,99.73%,95.58%,97.94%,57.96%,70.61%,88.85%,0.8511,4
706,"$260,732.00",59,66,189,1094,854,0.8315,0.00%,64.73%,8.60%,62.48%,501,99.88%,98.61%,100.00%,80.74%,72.61%,87.11%,0.8983,4
707,"$213,288.00",161,265,231,869,912,0.7728,8.26%,55.23%,16.20%,58.87%,529,99.43%,94.58%,96.30%,70.65%,67.33%,79.68%,0.8466,4
710,"$140,685.00",20,41,274,785,804,0.8403,26.29%,42.28%,19.61%,65.29%,212,95.78%,99.19%,73.65%,48.47%,64.51%,91.76%,0.7889,4
711,"$240,273.00",3,24,48,635,680,0.8827,20.59%,38.18%,7.50%,65.29%,157,99.66%,99.94%,81.52%,38.26%,74.26%,91.76%,0.809,4
712,"$212,824.00",61,43,190,505,418,0.7933,21.88%,45.28%,10.06%,77.52%,186,99.25%,96.23%,80.19%,54.31%,71.15%,99.33%,0.8341,4
713,"$160,990.00",22,65,143,1588,1016,0.8478,4.01%,48.56%,10.01%,77.52%,376,97.74%,99.54%,98.62%,60.89%,71.27%,99.61%,0.8794,4
714,"$150,586.00",286,269,320,1672,1548,0.7918,11.28%,38.11%,17.82%,77.52%,269,97.27%,96.14%,93.86%,38.07%,66.18%,99.33%,0.8181,4
715,"$130,920.00",48,148,313,2049,1971,0.8538,24.83%,39.91%,15.54%,77.52%,341,94.77%,99.71%,75.70%,43.50%,67.64%,99.46%,0.8013,4
716,"$145,490.00",47,34,120,496,317,0.7976,10.26%,56.81%,10.89%,77.52%,240,96.58%,96.44%,94.49%,72.77%,70.49%,99.38%,0.8836,4
717,"$155,518.00",3,29,206,561,570,0.8434,35.80%,56.96%,22.50%,77.52%,278,97.44%,99.32%,54.90%,72.99%,62.53%,99.52%,0.8112,4
718,"$211,201.00",84,130,282,629,861,0.8067,17.06%,54.83%,22.48%,76.43%,473,99.16%,97.17%,88.06%,70.41%,62.64%,98.82%,0.8604,4
801,"$239,837.00",0,356,478,1947,2178,0.8398,9.94%,51.65%,10.98%,75.29%,288,99.63%,99.14%,95.23%,65.45%,70.44%,98.49%,0.8806,4
802.01,"$157,287.00",66,221,493,994,1064,0.7951,0.00%,66.01%,16.22%,73.68%,115,97.50%,96.30%,100.00%,82.04%,67.17%,96.97%,0.9,4
802.02,"$197,930.00",32,89,315,1136,1369,0.853,7.91%,58.12%,19.58%,72.30%,143,98.90%,99.64%,96.55%,74.66%,64.54%,96.61%,0.8848,4
803,"$157,817.00",27,106,403,1819,1293,0.8327,27.95%,53.11%,16.73%,38.50%,336,97.58%,98.72%,71.90%,68.54%,66.82%,17.22%,0.7013,4
804,"$53,941.00",328,482,819,993,467,0.6511,76.88%,31.17%,3.10%,38.50%,1019,63.01%,85.65%,15.81%,21.13%,86.92%,17.45%,0.4833,3
810,"$74,382.00",254,430,1152,1729,1401,0.7447,88.97%,17.87%,26.54%,75.24%,186,79.75%,92.18%,6.42%,3.32%,58.69%,98.16%,0.5642,3
811,"$71,212.00",189,112,523,1299,844,0.7683,0.00%,25.80%,15.89%,75.24%,102,78.20%,94.01%,100.00%,10.64%,67.43%,98.34%,0.7477,4
812.01,"$143,999.00",28,123,417,1432,1401,0.8385,0.00%,49.75%,18.74%,75.24%,123,96.33%,98.98%,100.00%,62.27%,65.28%,98.34%,0.8687,4
812.02,"$314,253.00",20,162,542,1059,755,0.7865,53.39%,73.34%,10.05%,75.24%,156,99.96%,95.61%,35.89%,85.92%,71.19%,98.40%,0.8116,4
813,"$230,963.00",12,228,721,1899,2055,0.8343,9.09%,63.51%,26.13%,75.24%,207,99.56%,98.85%,95.54%,79.28%,58.75%,98.29%,0.8838,4
814.01,"$182,611.00",33,137,251,654,813,0.82,0.00%,50.24%,19.12%,75.24%,96,98.64%,97.72%,100.00%,62.76%,65.07%,98.40%,0.871,4
814.02,"$141,307.00",100,129,494,1434,1471,0.8231,49.29%,47.67%,22.28%,75.24%,242,95.98%,98.11%,39.44%,58.55%,62.70%,98.16%,0.7549,4
814.03,"$149,562.00",0,53,744,3137,2168,0.8432,0.00%,39.30%,32.14%,75.24%,280,96.87%,99.26%,100.00%,42.53%,54.26%,98.16%,0.8185,4
815,"$310,225.00",6,186,375,2010,1458,0.8343,16.18%,45.75%,19.15%,75.24%,188,99.93%,98.90%,88.76%,55.38%,64.98%,98.29%,0.8437,4
816,"$102,470.00",0,107,417,1405,1243,0.8386,0.00%,35.47%,19.18%,75.24%,116,91.16%,99.01%,100.00%,31.30%,64.93%,98.42%,0.808,4
817,"$112,524.00",118,235,229,1609,1078,0.8015,22.22%,41.18%,26.73%,75.24%,164,92.70%,96.62%,79.72%,45.90%,58.18%,98.29%,0.7857,4
818,"$150,387.00",0,285,607,3086,2684,0.8452,9.09%,60.00%,18.50%,75.24%,326,97.19%,99.39%,95.54%,76.62%,65.58%,98.16%,0.8875,4
819,"$37,291.00",155,113,243,492,206,0.6796,77.78%,55.42%,9.42%,28.35%,220,30.16%,87.82%,14.42%,70.70%,71.97%,0.31%,0.459,2
901,"$80,540.00",384,516,666,572,342,0.5977,17.74%,84.81%,24.72%,70.63%,586,82.68%,77.35%,86.73%,95.55%,60.52%,95.11%,0.8299,4
902,"$104,605.00",176,899,1568,1311,722,0.6643,15.29%,70.71%,18.61%,70.63%,982,91.87%,86.57%,89.47%,84.84%,65.50%,94.97%,0.8554,4
903,"$91,150.00",51,187,276,288,87,0.6389,8.73%,85.06%,14.75%,70.59%,239,88.53%,83.97%,95.90%,95.61%,68.61%,94.75%,0.8789,4
1001,"$90,469.00",495,626,1030,973,736,0.643,13.96%,62.54%,44.59%,64.53%,834,88.30%,84.66%,91.39%,78.53%,44.11%,90.55%,0.7959,4
1002,"$87,335.00",356,1532,1574,1037,360,0.58,22.26%,73.93%,24.75%,66.59%,1070,87.35%,73.64%,79.68%,86.83%,60.39%,92.79%,0.8011,4
1003,"$80,525.00",583,1187,1731,786,515,0.5776,19.72%,67.85%,16.56%,71.33%,859,82.55%,72.99%,83.01%,83.47%,67.09%,96.02%,0.8085,4
1004,"$103,266.00",99,518,637,532,359,0.6498,7.51%,92.97%,15.17%,69.13%,556,91.45%,85.42%,96.92%,99.63%,67.96%,94.15%,0.8925,4
1005,"$80,762.00",331,1077,1428,720,473,0.5964,18.28%,88.14%,23.29%,72.18%,968,83.18%,77.09%,85.97%,97.29%,61.67%,96.58%,0.8363,4
1006,"$77,200.00",362,1265,944,599,297,0.5541,12.36%,80.38%,39.84%,66.33%,723,81.24%,67.61%,92.83%,92.67%,46.86%,92.54%,0.7896,4
1007,"$70,936.00",336,1007,1092,736,279,0.5777,16.47%,91.58%,40.24%,65.59%,695,78.13%,73.15%,88.62%,98.97%,46.46%,92.38%,0.7962,4
1101,"$80,605.00",500,984,1142,834,280,0.5684,4.50%,63.61%,29.19%,62.27%,809,82.96%,71.05%,98.48%,79.60%,56.99%,86.79%,0.7931,4
1102,"$63,946.00",106,525,700,431,59,0.5794,29.79%,51.05%,44.17%,62.27%,367,72.28%,73.39%,67.02%,64.75%,44.40%,86.61%,0.6808,4
1103,"$85,294.00",541,964,1001,849,294,0.5666,11.73%,83.75%,41.15%,63.21%,751,85.84%,70.44%,93.43%,94.66%,46.04%,88.00%,0.7973,4
1104,"$83,268.00",446,958,860,586,297,0.5574,11.01%,57.86%,53.04%,61.25%,560,85.15%,68.34%,94.16%,74.34%,38.49%,84.19%,0.7411,4
1105.01,"$73,164.00",265,615,1082,813,553,0.6465,28.84%,65.13%,37.99%,63.60%,742,79.56%,85.02%,69.30%,81.03%,48.44%,89.02%,0.7539,4
1105.02,"$56,227.00",332,852,626,370,200,0.5373,25.06%,53.42%,48.84%,64.82%,448,65.19%,62.66%,75.57%,69.37%,42.33%,91.35%,0.6774,4
1201,"$101,138.00",58,291,568,880,918,0.7701,6.19%,92.83%,14.99%,75.98%,895,90.60%,94.28%,97.62%,99.50%,68.50%,98.72%,0.9154,4
1202,"$117,398.00",119,560,632,934,809,0.7149,8.76%,84.30%,33.40%,77.42%,818,93.16%,90.45%,95.84%,95.03%,52.66%,99.22%,0.8773,4
1203,"$143,066.00",243,596,696,1842,1207,0.7385,17.59%,86.60%,30.68%,75.00%,1164,96.30%,91.97%,87.19%,96.36%,55.99%,97.84%,0.8761,4
1204,"$82,947.00",161,611,671,524,436,0.6385,6.18%,76.33%,52.86%,64.92%,601,84.63%,83.92%,97.76%,89.43%,38.96%,91.49%,0.8103,4
1301,"$56,425.00",487,730,976,949,520,0.6156,7.47%,58.28%,56.14%,70.49%,652,65.40%,80.48%,97.06%,74.81%,37.03%,94.70%,0.7491,4
1302,"$102,867.00",46,182,211,388,170,0.6911,11.76%,78.18%,32.11%,71.03%,234,91.21%,89.10%,93.21%,91.13%,54.31%,95.78%,0.8579,4
1303,"$83,147.00",416,482,1080,900,532,0.6381,30.61%,47.22%,59.10%,59.80%,829,84.82%,83.78%,66.15%,58.45%,35.00%,81.25%,0.6824,4
1401,"$40,945.00",821,422,512,289,131,0.4609,43.86%,22.84%,76.30%,50.78%,681,38.56%,39.17%,43.47%,7.22%,19.32%,53.80%,0.3359,1
1402,"$54,133.00",1223,723,818,876,291,0.5129,29.20%,30.45%,72.21%,51.30%,905,63.34%,55.42%,68.32%,19.33%,24.41%,55.24%,0.4768,3
1403.01,"$70,190.00",829,305,429,312,121,0.4588,42.53%,32.02%,85.57%,52.87%,621,77.80%,38.33%,44.73%,23.20%,8.17%,62.94%,0.4253,2
1403.02,"$59,703.00",936,489,663,516,201,0.4971,20.59%,42.69%,62.27%,52.87%,687,69.56%,50.14%,81.52%,49.99%,32.50%,63.10%,0.578,3
1404,"$56,854.00",820,1299,1175,768,537,0.5523,14.83%,62.96%,63.60%,55.51%,1205,66.62%,66.82%,90.00%,78.90%,32.19%,72.29%,0.6781,4
1405,"$55,832.00",613,704,700,372,175,0.5058,28.28%,48.32%,70.42%,55.31%,707,64.95%,52.87%,70.88%,60.67%,25.47%,71.11%,0.5766,3
1406.01,"$58,355.00",795,421,356,207,100,0.4293,23.62%,41.21%,82.95%,55.41%,534,68.37%,24.76%,77.88%,46.07%,10.38%,71.57%,0.4984,3
1406.02,"$40,051.00",1230,767,739,384,182,0.4498,29.11%,28.59%,79.21%,55.17%,1126,36.23%,34.11%,68.87%,14.70%,16.01%,70.77%,0.4012,2
1407.01,"$61,134.00",353,365,397,493,316,0.6056,14.08%,29.52%,58.40%,52.79%,531,70.70%,78.96%,91.15%,16.93%,35.90%,62.06%,0.5928,3
1407.02,"$45,697.00",1272,875,824,716,241,0.4869,45.45%,32.41%,70.61%,53.28%,1217,48.57%,47.12%,42.63%,24.61%,25.31%,64.15%,0.4207,2
1408,"$98,924.00",910,824,821,1214,1187,0.6381,21.79%,44.79%,53.25%,56.02%,1213,90.07%,83.59%,80.52%,53.43%,38.36%,74.50%,0.7008,4
1502,"$62,564.00",780,1145,1507,1332,673,0.599,32.21%,46.59%,56.88%,53.68%,1191,71.43%,77.98%,62.50%,57.14%,36.61%,66.18%,0.6197,3
1503,"$68,905.00",423,1891,1271,1090,353,0.5626,29.53%,55.45%,51.51%,52.34%,1096,77.33%,69.33%,67.65%,70.96%,40.17%,60.22%,0.6428,3
1504.01,"$63,372.00",335,862,1163,649,430,0.5987,47.96%,57.95%,47.47%,60.57%,755,71.77%,77.61%,40.44%,74.63%,42.70%,82.88%,0.6501,4
1504.02,"$74,705.00",519,812,798,319,169,0.5088,48.19%,64.39%,50.54%,60.74%,568,80.06%,54.12%,40.02%,80.45%,41.37%,83.44%,0.6324,3
1505.01,"$69,920.00",300,774,677,548,223,0.5699,9.04%,74.71%,51.39%,63.66%,510,77.66%,71.58%,95.66%,87.31%,40.28%,89.14%,0.7694,4
1505.02,"$54,333.00",716,1072,1014,319,112,0.4787,30.02%,59.11%,65.60%,64.74%,686,63.50%,44.39%,66.94%,75.92%,29.75%,91.02%,0.6192,3
1506,"$85,335.00",307,994,797,473,238,0.5531,33.47%,61.63%,45.85%,58.39%,631,85.98%,67.18%,59.21%,77.71%,43.39%,78.78%,0.6871,4
1507,"$65,603.00",696,1003,927,371,222,0.5018,17.58%,61.96%,59.21%,56.72%,810,74.29%,51.44%,87.38%,78.14%,34.57%,76.74%,0.6709,4
1508,"$65,483.00",968,1046,685,432,273,0.4823,15.73%,50.52%,53.33%,57.14%,918,74.10%,45.30%,89.03%,63.36%,38.09%,77.28%,0.6453,3
1510.01,"$38,564.00",679,593,364,120,62,0.4122,76.44%,47.93%,72.88%,53.43%,475,33.08%,19.72%,16.22%,58.83%,23.10%,65.16%,0.3602,2
1510.02,"$51,041.00",980,920,799,263,204,0.4605,32.62%,43.23%,73.22%,50.12%,838,58.13%,39.02%,61.49%,51.12%,22.74%,50.42%,0.4715,2
1511,"$57,793.00",936,1168,946,478,248,0.4906,29.13%,43.94%,72.25%,54.44%,910,67.50%,48.34%,68.62%,52.31%,24.21%,69.18%,0.5503,3
1512,"$58,523.00",648,1052,610,257,184,0.4747,5.82%,67.58%,67.10%,55.43%,633,68.57%,43.41%,98.09%,83.27%,28.09%,71.72%,0.6552,4
1601,"$81,989.00",286,583,448,268,148,0.5318,36.32%,60.25%,39.60%,57.23%,410,83.61%,60.75%,54.23%,76.71%,47.06%,77.53%,0.6665,4
1602,"$72,156.00",343,432,612,621,335,0.6148,8.67%,57.54%,41.17%,61.09%,626,78.99%,80.33%,96.04%,73.38%,45.87%,84.06%,0.7644,4
1603,"$61,141.00",523,678,638,848,282,0.579,27.25%,38.78%,49.07%,61.27%,423,70.79%,73.25%,72.64%,40.47%,42.16%,84.28%,0.6393,3
1604,"$43,080.00",809,531,856,718,354,0.5558,36.14%,44.87%,52.33%,55.87%,776,44.68%,67.85%,54.47%,53.78%,39.32%,73.54%,0.5561,3
1605.01,"$45,399.00",961,620,547,547,201,0.4892,35.25%,43.20%,72.88%,51.91%,858,48.27%,47.73%,56.04%,50.81%,23.30%,58.64%,0.4746,2
1605.02,"$50,521.00",882,409,473,587,212,0.5093,29.75%,45.23%,72.45%,53.60%,705,56.48%,54.28%,67.18%,54.27%,23.87%,65.91%,0.5366,3
1606.01,"$60,782.00",728,331,324,514,323,0.5435,23.44%,43.98%,59.33%,51.78%,553,70.57%,64.17%,78.05%,52.43%,34.39%,58.30%,0.5965,3
1606.02,"$44,246.00",416,623,631,547,151,0.5488,47.83%,44.06%,41.30%,51.78%,501,46.76%,65.12%,40.55%,52.62%,45.55%,58.17%,0.5146,3
1607,"$76,989.00",651,1138,802,1128,546,0.5897,25.16%,46.53%,46.26%,56.32%,969,80.99%,76.49%,75.47%,56.50%,43.00%,75.67%,0.6802,4
1608,"$64,011.00",622,721,977,871,207,0.56,22.29%,42.47%,61.36%,57.26%,831,72.47%,68.68%,79.37%,48.84%,33.17%,77.72%,0.6337,3
1609,"$88,837.00",158,230,506,391,320,0.6604,22.42%,53.11%,26.10%,55.81%,335,87.83%,86.06%,79.06%,68.47%,58.88%,73.36%,0.7561,4
1610,"$78,528.00",124,321,341,346,283,0.6485,21.40%,48.72%,28.48%,57.94%,301,81.88%,85.22%,80.67%,61.04%,57.35%,78.54%,0.7412,4
1611,"$144,833.00",67,277,179,452,295,0.6994,10.12%,60.27%,25.40%,59.98%,349,96.41%,89.68%,95.01%,76.79%,59.12%,81.80%,0.8313,4
1612,"$48,723.00",468,644,291,247,172,0.4914,28.30%,57.30%,60.63%,54.56%,489,53.90%,48.64%,70.56%,73.24%,33.84%,69.43%,0.5827,3
1613,"$45,394.00",715,976,515,311,184,0.4721,29.22%,33.27%,63.41%,54.20%,647,48.07%,42.84%,68.12%,26.21%,32.34%,68.38%,0.4766,3
1701,"$47,695.00",211,348,408,267,115,0.5595,23.91%,81.79%,48.40%,60.64%,93,52.78%,68.49%,77.76%,93.23%,42.35%,83.01%,0.696,4
1702,"$68,251.00",658,788,646,386,237,0.5084,13.48%,77.06%,58.29%,64.74%,606,76.94%,53.99%,91.65%,90.73%,36.03%,90.86%,0.7337,4
1703,"$66,084.00",498,1191,1216,481,346,0.5457,30.36%,72.11%,53.65%,60.64%,719,75.28%,64.62%,66.38%,85.44%,37.88%,83.17%,0.6879,4
1704,"$62,250.00",440,1050,670,560,100,0.517,19.02%,76.76%,58.63%,60.88%,522,71.16%,56.57%,84.40%,90.08%,35.42%,83.56%,0.702,4
1705,"$83,167.00",364,1235,1005,648,279,0.5571,22.56%,76.50%,41.39%,67.93%,731,84.99%,68.17%,78.84%,89.60%,45.44%,93.43%,0.7674,4
1706,"$76,752.00",224,634,687,317,138,0.5511,24.45%,81.59%,50.55%,68.09%,374,80.77%,65.76%,76.02%,93.20%,41.08%,93.57%,0.7507,4
1707,"$64,514.00",342,679,599,272,166,0.5262,17.38%,76.03%,57.62%,64.47%,418,72.84%,59.38%,87.65%,89.29%,36.13%,90.36%,0.7261,4
1708,"$73,431.00",541,651,824,439,225,0.537,17.60%,75.11%,52.27%,61.07%,532,79.68%,62.45%,86.93%,87.61%,39.69%,83.92%,0.7338,4
1709,"$64,597.00",199,399,369,170,39,0.5066,45.54%,74.76%,48.88%,61.07%,302,73.03%,53.15%,42.15%,87.38%,42.23%,83.79%,0.6362,3
1710,"$74,729.00",698,1704,1730,690,411,0.5393,26.11%,75.32%,59.14%,58.71%,1054,80.30%,63.12%,73.89%,87.85%,34.81%,79.49%,0.6991,4
1711,"$68,478.00",442,1166,687,308,144,0.4941,22.89%,69.93%,65.66%,60.71%,598,77.08%,49.48%,78.46%,84.34%,29.44%,83.31%,0.6702,4
1801,"$49,610.00",848,1211,1352,563,353,0.5243,19.92%,70.25%,68.11%,51.19%,940,55.57%,58.75%,82.42%,84.58%,26.77%,54.85%,0.6049,3
1901,"$39,898.00",544,493,349,73,19,0.4011,64.86%,31.55%,82.66%,48.54%,492,35.51%,15.01%,24.89%,22.18%,10.71%,43.88%,0.2536,1
1902,"$42,902.00",1280,1045,689,437,66,0.4274,49.63%,51.70%,76.64%,48.48%,1115,44.31%,23.96%,39.06%,65.70%,19.17%,43.45%,0.3928,2
1903,"$52,245.00",1070,1487,862,395,145,0.4514,41.39%,46.56%,78.52%,48.20%,890,58.99%,35.02%,47.47%,56.87%,17.05%,42.51%,0.4299,2
1904.01,"$52,612.00",848,900,708,388,79,0.4597,39.66%,65.51%,83.84%,63.83%,774,59.52%,38.83%,50.10%,81.47%,9.32%,89.83%,0.5485,3
1904.02,"$42,576.00",934,1252,805,466,83,0.4594,41.86%,53.28%,72.64%,55.70%,1043,44.05%,38.65%,46.70%,69.26%,23.70%,73.29%,0.4928,3
1906.01,"$52,902.00",822,919,622,199,141,0.4459,42.13%,51.71%,83.70%,59.65%,983,60.33%,31.57%,46.10%,65.92%,9.54%,81.01%,0.4908,3
1906.02,"$53,507.00",1236,1144,759,259,97,0.419,42.38%,59.82%,80.19%,54.59%,1200,62.51%,21.62%,45.14%,76.49%,15.20%,69.86%,0.4847,3
1907.01,"$38,826.00",667,376,489,89,83,0.4292,40.30%,41.44%,79.22%,48.68%,652,33.57%,24.63%,49.43%,46.51%,15.75%,44.32%,0.357,2
1907.02,"$40,465.00",1273,928,465,125,163,0.3953,56.47%,35.71%,87.20%,51.04%,1135,36.91%,14.06%,33.73%,32.63%,6.69%,54.26%,0.2971,1
1908,"$32,947.00",1506,1230,885,259,237,0.4295,37.59%,42.50%,81.20%,49.34%,1351,18.88%,25.06%,52.22%,49.15%,13.43%,46.97%,0.3429,1
1909,"$46,249.00",514,330,361,148,50,0.4418,54.64%,46.35%,68.13%,44.25%,402,49.34%,30.11%,34.73%,56.06%,26.56%,30.52%,0.3789,2
