TRACT,Estimated Median Family Income,Less Than High School,High School,Some College,College Graduate,Graduate School,Educational Attainment Score,% of Single Parent Households,% of Owner Occupied Homes,% of Population Speaking a Language Other than English,Weighted Average ISAT Performance at Attendance Area Schools,Number of School Age Children,Estimated Median Family Income Cumulative Percentage,Educational Attainment Score Cumulative Percentage,% of Single Parent Households Cumulative Percentage,% of Owner Occupied Homes Cumulative Percentage,% of Population Speaking a Language Other than English Cumulative Percentage,Weighted Average ISAT Performance at Attendance Area Schools Cumulative Percentage,6-Factor Socioeconomic Score,6-Factor Socioeconomic Tier
6110,"$18,400",240,200,200,31,18,0.4221,50.00%,37.93%,39.95%,33.47%,300,2.20%,22.72%,38.48%,38.39%,47.88%,9.19%,0.2648,1
6111,"$30,161",996,420,253,50,7,0.3279,56.12%,34.49%,76.68%,45.72%,744,12.28%,1.92%,32.31%,29.55%,17.65%,28.01%,0.2029,1
6112,"$37,941",824,454,147,84,11,0.3374,31.64%,29.50%,69.91%,46.61%,804,30.07%,3.08%,64.89%,18.04%,25.96%,30.05%,0.2868,1
6113,"$40,252",1075,545,423,155,0,0.3689,33.47%,36.14%,76.10%,60.46%,1101,38.07%,10.93%,59.26%,33.24%,18.79%,67.55%,0.3797,2
6114,"$27,348",1289,653,251,50,1,0.3167,36.79%,29.80%,87.01%,47.82%,1213,7.16%,0.96%,55.72%,18.84%,6.98%,32.59%,0.2037,1
6115,"$42,390",1090,673,343,32,26,0.3441,30.35%,37.45%,85.74%,46.18%,891,41.82%,4.53%,68.93%,36.33%,8.09%,29.03%,0.3146,1
6116,"$54,443",225,340,344,24,12,0.443,33.49%,48.68%,21.01%,38.43%,395,63.04%,33.19%,59.00%,60.40%,62.03%,16.36%,0.49,3
6117,"$41,871",378,308,190,46,0,0.3792,89.94%,38.15%,26.82%,38.43%,452,41.07%,12.59%,5.79%,38.83%,57.83%,16.36%,0.2875,1
6118,"$32,164",315,430,302,58,9,0.4233,60.28%,35.01%,26.39%,38.43%,475,14.97%,23.38%,29.16%,31.02%,58.40%,16.36%,0.2888,1
6119,"$22,710",441,246,271,48,0,0.3853,85.92%,27.61%,10.13%,27.22%,480,2.77%,13.96%,8.41%,13.79%,69.56%,2.03%,0.1842,1
6120,"$30,323",277,329,221,45,25,0.4243,86.53%,38.83%,1.63%,28.23%,311,12.35%,24.22%,7.86%,40.48%,89.77%,2.89%,0.296,1
6121,"$29,272",222,202,347,123,0,0.483,92.52%,32.04%,4.65%,28.34%,338,11.23%,48.38%,4.25%,23.94%,78.37%,3.02%,0.282,1
6201,"$65,001",825,948,553,231,40,0.4239,39.76%,82.68%,80.84%,59.64%,959,76.25%,24.07%,50.46%,93.91%,13.36%,65.89%,0.5399,3
6202,"$49,763",588,351,336,50,99,0.4204,46.83%,55.60%,74.83%,59.94%,423,54.30%,22.33%,41.92%,70.36%,20.61%,66.26%,0.4596,2
6203,"$52,598",1443,1179,843,288,158,0.423,44.73%,72.69%,74.93%,60.70%,1330,60.41%,23.03%,44.07%,85.11%,20.51%,68.02%,0.5019,3
