TRACT,SHORT TRACT,TIER
17031250600,2506,3
17031250700,2507,1
17031250800,2508,2
17031251000,2510,2
17031251100,2511,1
17031251200,2512,2
17031251300,2513,1
17031251400,2514,2
17031251500,2515,2
17031251600,2516,2
17031251700,2517,2
17031251800,2518,1
17031251900,2519,1
17031252000,2520,1
17031252101,2521.01,1
17031252102,2521.02,1
17031252201,2522.01,1
17031252202,2522.02,2
17031260100,2601,1
17031260200,2602,1
17031260300,2603,1
17031260400,2604,1
17031260500,2605,2
17031260600,2606,2
17031260700,2607,1
17031260800,2608,1
17031260900,2609,1
17031261000,2610,2
17031270500,2705,1
17031271200,2712,2
17031271300,2713,1
17031271400,2714,2
17031271500,2715,3
17031271800,2718,1
17031280100,2801,4
17031280400,2804,2
17031280800,2808,2
17031280900,2809,1
17031281900,2819,4
17031282700,2827,2
17031282800,2828,4
17031283100,2831,2
17031283200,2832,3
17031283800,2838,3
17031290900,2909,1
17031291200,2912,1
17031291600,2916,1
17031292200,2922,1
17031292400,2924,1
17031292500,2925,2
17031300500,3005,1
17031300600,3006,2
17031300700,3007,1
17031300800,3008,1
17031300900,3009,1
17031301100,3011,1
17031301200,3012,1
17031301600,3016,1
17031301701,3017.01,1
17031301702,3017.02,1
17031301801,3018.01,2
17031301802,3018.02,1
17031301803,3018.03,1
17031310200,3102,3
17031310300,3103,2
17031310400,3104,2
17031310500,3105,1
17031310600,3106,2
17031310700,3107,2
17031310800,3108,1
17031310900,3109,1
17031320100,3201,4
17031320400,3204,4
17031320600,3206,4
17031330100,3301,4
17031330200,3302,4
17031340300,3403,3
17031340400,3404,2
17031340500,3405,2
17031340600,3406,1
17031350100,3501,2
17031350400,3504,1
17031351000,3510,2
17031351100,3511,1
17031351400,3514,1
17031351500,3515,2
17031360200,3602,1
17031380100,3801,3
17031380200,3802,2
17031380500,3805,2
17031380700,3807,1
17031381200,3812,2
17031381400,3814,1
17031381500,3815,2
17031381700,3817,2
17031381800,3818,3
17031381900,3819,2
17031390100,3901,3
17031390200,3902,3
17031390300,3903,1
17031390400,3904,1
17031390500,3905,3
17031390600,3906,4
17031390700,3907,4
17031400300,4003,2
17031400400,4004,1
17031400500,4005,1
17031400800,4008,1
17031410100,4101,3
17031410200,4102,4
17031410500,4105,3
17031410600,4106,4
17031410700,4107,3
17031410800,4108,3
17031410900,4109,4
17031411000,4110,4
17031411100,4111,4
17031411200,4112,4
17031420100,4201,1
17031420200,4202,3
17031420300,4203,3
17031420400,4204,2
17031420500,4205,1
17031420600,4206,1
17031420700,4207,1
17031420800,4208,1
17031421200,4212,2
17031430101,4301.01,2
17031430102,4301.02,2
17031430200,4302,2
17031430300,4303,1
17031430400,4304,3
17031430500,4305,1
17031430600,4306,3
17031430700,4307,1
17031430800,4308,2
17031430900,4309,3
17031431200,4312,3
17031431301,4313.01,1
17031431302,4313.02,1
17031431400,4314,2
17031440101,4401.01,1
17031440102,4401.02,1
17031440201,4402.01,2
17031440202,4402.02,2
17031440300,4403,3
17031440600,4406,4
17031440700,4407,3
17031440800,4408,2
17031440900,4409,3
17031450300,4503,3
17031460100,4601,2
17031460200,4602,1
17031460301,4603.01,2
17031460302,4603.02,1
17031460400,4604,3
17031460500,4605,3
17031460600,4606,1
17031460700,4607,1
17031461000,4610,1
17031470100,4701,2
17031480100,4801,4
17031480200,4802,3
17031480300,4803,3
17031480400,4804,4
17031480500,4805,3
17031490300,4903,4
17031490400,4904,4
17031490500,4905,3
17031490600,4906,3
17031490700,4907,3
17031490800,4908,3
17031490901,4909.01,2
17031490902,4909.02,3
17031491000,4910,2
17031491100,4911,4
17031491200,4912,3
17031491300,4913,2
17031491400,4914,2
17031500100,5001,4
17031500200,5002,2
17031500300,5003,3
17031510100,5101,2
17031510200,5102,3
17031510300,5103,3
17031520100,5201,2
17031520200,5202,1
17031520300,5203,3
17031520400,5204,2
17031520500,5205,4
17031520600,5206,3
17031530100,5301,2
17031530200,5302,2
17031530300,5303,3
17031530400,5304,3
17031530501,5305.01,3
17031530502,5305.02,3
17031530503,5305.03,4
17031530600,5306,2
17031540101,5401.01,1
17031540102,5401.02,1
17031550100,5501,3
17031550200,5502,4
17031560100,5601,2
17031560200,5602,3
17031560300,5603,3
17031560400,5604,3
17031560700,5607,3
17031560800,5608,4
17031560900,5609,4
17031561000,5610,4
17031561100,5611,4
17031570100,5701,3
17031570200,5702,3
17031570300,5703,2
17031570400,5704,2
17031570500,5705,2
17031580100,5801,3
17031580200,5802,2
17031580300,5803,2
17031580400,5804,2
17031580501,5805.01,2
17031580502,5805.02,2
17031580600,5806,1
17031580700,5807,1
17031580800,5808,1
17031590500,5905,3
17031590600,5906,3
17031590700,5907,2
17031600400,6004,3
17031600600,6006,2
17031600700,6007,3
17031600900,6009,3
17031610300,6103,1
17031610400,6104,1
17031610800,6108,4
17031611000,6110,1
17031611100,6111,1
17031611200,6112,1
17031611300,6113,2
17031611400,6114,1
17031611500,6115,1
17031611600,6116,3
17031611700,6117,1
17031611800,6118,1
17031611900,6119,1
17031612000,6120,1
17031612100,6121,1
17031620100,6201,3
17031620200,6202,2
17031620300,6203,3
17031620400,6204,3
17031630100,6301,1
17031630200,6302,2
17031630300,6303,2
17031630400,6304,2
17031630500,6305,2
17031630800,6308,2
17031630900,6309,2
17031640100,6401,3
17031640300,6403,3
17031640400,6404,4
17031640500,6405,4
17031640600,6406,3
17031640700,6407,4
17031640800,6408,3
17031650100,6501,3
17031650200,6502,3
17031650301,6503.01,3
17031650302,6503.02,3
17031650400,6504,3
17031650500,6505,3
17031660301,6603.01,1
17031660302,6603.02,2
17031660400,6604,2
17031660500,6605,2
17031660600,6606,1
17031660700,6607,2
17031660800,6608,1
17031660900,6609,2
17031661000,6610,2
17031661100,6611,3
17031670100,6701,1
17031670200,6702,1
17031670300,6703,1
17031670400,6704,2
17031670500,6705,1
17031670600,6706,1
17031670700,6707,1
17031670800,6708,2
17031670900,6709,3
17031671100,6711,1
17031671200,6712,1
17031671300,6713,2
17031671400,6714,2
17031671500,6715,1
17031671600,6716,1
17031671800,6718,2
17031671900,6719,2
17031672000,6720,3
17031680500,6805,1
17031680600,6806,1
17031680900,6809,1
17031681000,6810,1
17031681100,6811,1
17031681200,6812,1
17031681300,6813,1
17031681400,6814,2
17031690300,6903,1
17031690400,6904,2
17031690500,6905,1
17031690900,6909,2
17031691000,6910,3
17031691100,6911,1
17031691200,6912,2
17031691300,6913,3
17031691400,6914,3
17031691500,6915,1
17031700100,7001,3
17031700200,7002,3
17031700301,7003.01,4
17031700302,7003.02,4
17031700401,7004.01,4
17031700402,7004.02,4
17031700501,7005.01,4
17031700502,7005.02,4
17031710100,7101,1
17031710200,7102,1
17031710300,7103,2
17031710400,7104,3
17031710500,7105,2
17031710600,7106,1
17031710700,7107,2
17031710800,7108,2
17031710900,7109,2
17031711000,7110,2
17031711100,7111,3
17031711200,7112,3
17031711300,7113,3
17031711400,7114,3
17031711500,7115,3
17031720100,7201,4
17031720200,7202,4
17031720300,7203,4
17031720400,7204,4
17031720500,7205,4
17031720600,7206,4
17031720700,7207,4
17031730100,7301,4
17031730201,7302.01,2
17031730202,7302.02,3
17031730300,7303,3
17031730400,7304,4
17031730500,7305,4
17031730600,7306,4
17031730700,7307,3
17031740100,7401,4
17031740200,7402,4
17031740300,7403,4
17031740400,7404,4
17031750100,7501,3
17031750200,7502,4
17031750300,7503,4
17031750400,7504,4
17031750500,7505,3
17031750600,7506,4
17031760801,7608.01,3
17031760802,7608.02,4
17031760803,7608.03,3
17031770902,7709.02,3
17031810400,8104,4
17031821402,8214.02,4
17031823304,8233.04,4
17031830500,8305,2
17031830600,8306,3
17031830700,8307,3
17031830800,8308,4
17031830900,8309,4
17031831000,8310,4
17031831100,8311,3
17031831200,8312,1
17031831300,8313,1
17031831400,8314,2
17031831500,8315,3
17031831600,8316,3
17031831700,8317,4
17031831800,8318,4
17031831900,8319,4
17031832000,8320,4
17031832100,8321,3
17031832200,8322,4
17031832300,8323,4
17031832400,8324,4
17031832500,8325,4
17031832600,8326,4
17031832900,8329,3
17031833000,8330,4
17031833100,8331,4
17031833300,8333,3
17031833900,8339,1
17031834000,8340,2
17031834200,8342,2
17031834300,8343,3
17031834400,8344,3
17031834500,8345,1
17031834600,8346,1
17031834700,8347,1
17031834800,8348,1
17031834900,8349,1
17031835000,8350,2
17031835100,8351,2
17031835200,8352,3
17031835500,8355,1
17031835600,8356,2
17031835700,8357,1
17031835800,8358,3
17031835900,8359,1
17031836000,8360,3
17031836100,8361,1
17031836200,8362,4
17031836300,8363,3
17031836400,8364,2
17031836500,8365,2
17031836600,8366,1
17031836700,8367,2
17031836800,8368,2
17031836900,8369,2
17031837000,8370,1
17031837100,8371,2
17031837300,8373,2
17031837400,8374,1
17031837800,8378,1
17031838000,8380,1
17031838100,8381,3
17031838200,8382,3
17031838300,8383,1
17031838600,8386,1
17031838700,8387,1
17031838800,8388,1
17031839000,8390,4
17031839100,8391,4
17031839200,8392,3
17031839500,8395,3
17031839600,8396,3
17031839700,8397,3
17031839800,8398,3
17031839900,8399,3
17031840000,8400,4
17031840100,8401,3
17031840200,8402,3
17031840300,8403,3
17031840400,8404,3
17031840700,8407,1
17031840800,8408,1
17031841000,8410,3
17031841100,8411,2
17031841200,8412,1
17031841300,8413,1
